question,category,active,answer,date,time,ip,browser,os,device,unknown1,unknown2
soap,product_search,True,Crafted with ancient Moroccan beauty rituals for a luxurious experience,2025-07-16,21:08,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
best soap for ligt skin,product_search,True,Formulated with alpha arbutin for skin-brightening properties and combating dark spots,2025-07-16,21:08,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
body wahs,product_search,True,Ultimate grooming essential for the modern man who demands freshness and confidence. Invigorating sensations with every shower.,2025-07-16,21:12,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
soap,product_search,True,Crafted with ancient Moroccan beauty rituals for a luxurious experience.,2025-07-16,21:14,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
soap?,product_search,True,"Effective cleansing and protection against germs, advanced antibacterial properties, nourishing formula",2025-07-16,21:17,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
How can I order?,product_search,True,"An exhilarating fragrance designed for the modern man who embodies confidence and charisma, perfect for those who love exclusivity and allure.",2025-07-16,21:18,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
How can I order?,product_search,True,"This fragrance encapsulates the essence of luxury, exclusivity, and vibrant New York City nightlife, perfect for the modern woman who radiates confidence and charm.",2025-07-16,21:19,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
soap?,product_search,True,Luxurious addition to your skincare routine with an invigorating aromatic experience,2025-07-16,21:20,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
soap,product_search,True,Effective cleansing and protection against germs,2025-07-16,21:23,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
what time are you opened today,product_search,True,Invigorating shower gel for an active lifestyle,2025-07-16,21:24,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
what ytie. are you oopend,product_search,True,Nourishes and revitalizes curly and textured hair,2025-07-16,21:24,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
soap,product_search,True,Luxurious experience crafted with ancient Moroccan beauty rituals,2025-07-16,21:25,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
when are you opened today,faq,True,"🕒 Our store hours are:
Monday - Saturday: 8:00 AM - 8:00 PM
Sunday: 1:00 PM - 7:00 PM",2025-07-16,21:25,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
What skincare is good for dark skin?,faq,True,Let me find some options for darker skin tones. Hold on a sec...,2025-07-16,21:27,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
What skincare is good for dark skin?,faq,True,Let me find some options for darker skin tones. Hold on a sec...,2025-07-16,21:27,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
